symbol,buyOrderPrice1,buyOrderQty1,sellOrderPrice1,sellQty1,lastTradedPrice,underLyingLtp,futuresLtp,spread,spreadPer,openPositions,annualisedYieldPer,volume,turnOver,transactionValue,caExpDate,ca,meta,series_key,snapshot_date
BAJFINANCE,0.0,0,0.69,2500,0.0,1034.5,1039.8,-5.3,-0.51,9000,3.07,0,0.0,0.0,30-Jun-2026,DIVIDEND - RS 6 PER SHARE 30-Jun-2026,{'isSLBSec': True},XO,2026-09-13
LAURUSLABS,0.01,623,4.25,100,0.0,1969.0,1979.0,-10.0,-0.51,3356935,4.84,0,0.0,0.0,08-May-2026,INTERIM DIVIDEND - RS 1.20 PER SHARE 08-May-2026,{'isSLBSec': True},XO,2026-09-13
COFORGE,0.0,0,0.95,1758,0.0,1846.5,1856.1,-9.6,-0.52,4152,8.68,0,0.0,0.0,03-Aug-2026,INTERIM DIVIDEND - RS 4 PER SHARE 03-Aug-2026,{'isSLBSec': True},XO,2026-09-13
ZYDUSLIFE,0.0,0,1.99,218,0.0,1119.1,1124.9,-5.8,-0.52,63513,0.57,0,0.0,0.0,24-Jul-2026,DIVIDEND - RE 1 PER SHARE 24-Jul-2026,{'isSLBSec': True},XO,2026-09-13
OBEROIRLTY,0.0,0,5.55,20,0.0,1741.1,1750.1,-9.0,-0.52,62500,7.29,0,0.0,0.0,23-Jul-2026,INTERIM DIVIDEND - RS 2 PER SHARE 23-Jul-2026,{'isSLBSec': True},XO,2026-09-13
PAYTM,0.0,0,6.0,50,0.0,1807.5,1817.0,-9.5,-0.53,32333,8.78,0,0.0,0.0,, ,{'isSLBSec': True},XO,2026-09-13
HCLTECH,0.01,1600,1.55,800,0.0,1206.1,1212.5,-6.4,-0.53,4164697,0.13,0,0.0,0.0,17-Jul-2026,INTERIM DIVIDEND - RS 12 PER SHARE 17-Jul-2026,{'isSLBSec': True},XO,2026-09-13
TATAELXSI,0.0,0,6.9,1,0.0,3383.0,3401.0,-18.0,-0.53,467091,0.02,0,0.0,0.0,10-Jun-2026,DIVIDEND - RS 75 PER SHARE 10-Jun-2026,{'isSLBSec': True},XO,2026-09-13
SBIN,0.0,0,0.53,25,0.0,995.7,1001.0,-5.3,-0.53,126099,1.28,0,0.0,0.0,15-May-2026,DIVIDEND - RS 17.35 PER SHARE 15-May-2026,{'isSLBSec': True},XO,2026-09-13
SBICARD,0.15,50,0.7,432,0.7,655.2,658.7,-3.5,-0.53,246975,1.7,18,12.6,12006.0,11-Mar-2026,INTERIM DIVIDEND - RS 2.50 PER SHARE 11-Mar-2026,{'isSLBSec': True},XO,2026-09-13
