date,close,high,low,open,volume
2024-05-29,30361.90625,30547.235795932276,30064.403557845555,30201.40034699019,52833
2024-05-30,29857.904296875,30530.602113932182,29721.541919958756,30374.53513826991,68887
2024-05-31,29646.62890625,30385.167476090235,28777.4814055848,30335.421127771297,868375
2024-06-03,29252.169921875,29939.84004688748,29131.60856183188,29803.915843625993,44990
2024-06-04,28821.9140625,29605.224769733457,26824.012816960396,29555.18503105091,72953
2024-06-05,30108.294921875,30378.386803303485,28595.17684562751,29016.751994978466,49866
2024-06-06,29898.23828125,30402.579242936805,29745.1470902281,30091.615023497034,20538
2024-06-07,29844.4921875,30237.97642954477,29760.02131823906,29760.02131823906,19067
2024-06-10,30008.51171875,30169.650122013074,29812.502097812627,29847.76195886572,12586
2024-06-11,30407.701171875,30822.20456755639,29896.58179630361,30008.852102548382,39791
2024-06-12,30639.16796875,30774.457770659523,30394.044505031718,30486.70927486413,18859
2024-06-13,31635.900390625,31879.8522187585,30677.698242000548,30775.141042957763,56576
2024-06-14,31533.138671875,32118.534629721067,31193.887315447944,31876.680346117537,57427
2024-06-18,32558.693359375,33505.630544494925,31560.255212731387,31560.255212731387,156530
2024-06-19,32084.005859375,32766.749346950353,31804.8894457368,32578.98126629878,42616
2024-06-20,31461.833984375,32482.659096170337,31409.992009169666,32237.58516957861,45408
2024-06-21,31804.837890625,31993.728071680824,31276.745912711645,31461.831580443395,45227
2024-06-24,32203.93359375,32281.47937438949,31408.479705554964,31798.64715531341,27730
2024-06-25,32986.66015625,33086.15286392939,32261.973593095845,32261.973593095845,54500
2024-06-26,33309.95703125,33580.635681507614,32627.800347810095,32986.65531175382,35727
2024-06-27,33895.45703125,35776.40721252801,33144.727550076386,33456.86153524485,107957
2024-06-28,33246.5546875,33929.93445154411,33130.872332960134,33929.93445154411,58629
2024-07-01,33408.0390625,33632.29009515133,32873.70396665556,33164.28346717528,30255
2024-07-02,33793.18359375,34236.21796662085,33456.908026241166,33612.92547165886,35059
2024-07-03,33697.25,34218.1730787953,33573.615689265054,33920.18268881876,23302
2024-07-04,34409.25390625,34462.95146024279,33721.195175310866,33895.79509826307,27710
2024-07-05,34211.83203125,34802.93570379768,34085.0276130467,34139.65105473428,33743
2024-07-08,33566.3984375,34611.7537948878,33498.31345679558,34307.52225594743,28099
2024-07-09,34737.046875,34874.14272725687,33706.56661211894,33847.026896646814,30550
2024-07-10,34520.015625,34798.05946625692,34010.40892613071,34773.62446764125,30144
2024-07-11,34735.875,34898.3317269796,34432.90846414954,34578.588753554,23755
2024-07-12,34275.28515625,34820.98235286663,34044.20619407872,34773.67454878203,21287
2024-07-15,34222.75390625,34495.432922018736,34139.6490084238,34372.82357319707,14038
2024-07-16,34245.828125,34528.84431832873,34139.70181528804,34520.016017621354,14283
2024-07-18,34285.8203125,34515.23801394788,33929.643910951345,34305.52300692771,48057
2024-07-19,33397.25390625,34501.598334931645,33274.43921233692,34501.598334931645,24779
2024-07-22,33458.3203125,33962.51261913366,33046.06386591894,33397.25563517287,20371
2024-07-23,33389.21875,33739.47630148388,32443.265686359275,33519.430587085466,36942
2024-07-24,33439.5,33888.9527427243,33164.71468031433,33453.46726784842,18849
2024-07-25,34061.55859375,34227.15570763429,33129.42729140291,33413.62365616417,20428
2024-07-26,34224.265625,34305.56905791796,33877.38501662073,34061.559211753876,18411
2024-07-29,34242.88671875,34458.61743076499,34129.13849400506,34209.511536983475,19618
2024-07-30,34231.61328125,34354.57346389007,34119.33530037128,34251.6567673506,10838
2024-07-31,34284.44140625,34334.869820460146,33737.51269065581,34211.519109002526,32525
2024-08-01,33688.75390625,34484.74264979639,33586.23156074431,34161.4854100496,23238
2024-08-02,33236.94921875,33893.90083926821,33139.17835094442,33688.75277896546,28189
2024-08-05,31713.2421875,33119.47564886187,31509.859179118062,32835.37883777475,35807
2024-08-06,32050.61328125,32560.883700741597,31713.241386997117,31713.241386997117,29693
2024-08-07,31787.392578125,32594.846501485637,31169.059588625918,32247.23460584254,60281
2024-08-08,31204.001953125,31874.52840021011,30991.650104513214,31786.559122343006,44900
2024-08-09,31383.41796875,31855.16928767333,31217.085742864856,31296.5284000223,32494
2024-08-12,30971.068359375,31355.24096673337,30460.3556761419,31355.24096673337,36237
2024-08-13,30966.998046875,31247.470945782752,30747.197376875258,31155.335993809615,16810
2024-08-14,30378.21875,31021.00594670915,30286.916545887503,31020.95808737753,26467
2024-08-16,31306.869140625,31412.531056591673,30468.245403592497,30822.033062434704,25740
2024-08-19,30978.6640625,31445.905148584414,30899.613846710745,31306.86996048652,25158
2024-08-20,31418.509765625,31703.44124929052,31102.603723004722,31120.051320675528,29425
2024-08-21,31574.548828125,31639.386732167168,31121.9125273888,31639.386732167168,22620
2024-08-22,31858.2578125,31913.73443325476,31465.16424983254,31574.549619697133,32048
2024-08-23,31953.333984375,32174.802081073078,31519.661443073914,31855.170667888382,39122
2024-08-26,32163.33203125,32251.056272859354,31783.669691767405,32011.996993983445,32218
2024-08-27,31659.087890625,32267.86621479578,31604.64120342062,32247.233100816356,45779
2024-08-28,31306.4296875,31874.724796433427,31183.567124729918,31874.724796433427,26366
2024-08-29,31102.26171875,31561.0738189096,30875.012210166653,31306.429628733524,17160
2024-08-30,31746.958984375,31855.168925692593,31208.21418303862,31208.21418303862,50047
2024-09-02,31686.189453125,31984.795291818722,31288.979996467566,31746.95931447666,26466
2024-09-03,31756.419921875,32134.125764951637,31580.726402086857,31754.607010403164,29277
2024-09-04,31807.9765625,31875.11746265695,31330.78647469716,31737.552512144346,16544
2024-09-05,33051.69921875,33465.521615598125,31780.335261963137,31850.26922928112,92016
2024-09-06,31715.302734375,33256.798181414095,31374.745307291512,33051.69989024224,65916
2024-09-09,32448.853515625,32515.848924012884,31516.771951779334,31633.655928648994,65068
2024-09-10,32868.65625,33276.40244788871,32443.267187779566,32448.853329068625,90744
2024-09-11,32550.69140625,33122.17007538688,32329.46644643003,32868.65346947619,51904
2024-09-12,33437.046875,33599.85282757967,32774.45934549464,32776.519211034545,38720
2024-09-13,33661.74609375,34349.13236751426,33520.45770512814,33737.023070843235,50320
2024-09-16,33361.67578125,33868.36826975686,33178.38602683293,33668.46558409782,28975
2024-09-17,34031.41796875,34104.58531235344,33237.24407656786,33423.42452750479,57197
2024-09-18,33682.0859375,34175.59601757359,33375.39570324871,34012.499083681345,18444
2024-09-19,33753.59375,34099.05006227644,33374.417667120324,33824.45619059553,22135
2024-09-20,34978.69140625,35285.7262324252,33740.06516533494,33815.48763940748,73949
2024-09-23,35738.4609375,35851.2290057502,34796.822872196404,34854.55653943386,70172
2024-09-24,35975.07421875,36216.878702688206,35648.48597276084,35738.46151503854,40922
2024-09-25,36227.90234375,36605.99868327049,35760.22100187918,35989.77347712981,41395
2024-09-26,36404.96875,36461.91752365243,36023.346112091,36231.58014144656,37856
2024-09-27,37222.62109375,37422.37445299702,36167.87036707502,36285.53923140337,67836
2024-09-30,36931.3125,37368.172442147865,36766.7951042581,37222.51927896479,32053
2024-10-01,37090.39453125,37324.40750856463,36902.9888833341,36951.996836698425,21533
2024-10-03,36386.25,37344.06068036227,36310.4331642068,36646.187420403796,49118
2024-10-04,36005.65625,36412.91237630838,35697.936050997196,36412.91237630838,35351
2024-10-07,36054.46875,36388.40820445968,35501.65899303528,36005.65605890166,68090
2024-10-08,37214.3359375,37393.019706295265,35845.39826875636,35972.03405810054,35793
2024-10-09,37840.1640625,38313.24010379994,37111.66088158869,37214.33253742516,42324
2024-10-10,37463.8828125,38265.16280515398,37221.929028785475,37840.16432586988,26527
2024-10-11,37723.1875,37873.05229284294,37248.30042254112,37463.88564789004,16882
2024-10-14,38025.86328125,38127.21020434219,37556.95285367072,37723.18937451759,11537
2024-10-15,37935.2421875,38163.52353340808,37454.62348212631,38030.172125450874,17392
2024-10-16,37502.40625,38020.32077412068,37325.24249706061,37736.12441586012,18602
2024-10-17,35761.00390625,37651.29043506755,35664.312746075164,37502.40580472944,53057
2024-10-18,36070.5859375,36194.28123624166,35344.67865828414,35762.96150710728,21112
2024-10-21,36108.2265625,36526.1189261127,35785.60872636553,36079.65645624528,18769
2024-10-22,35349.734375,36320.1876471364,35197.51489404473,36020.84857577677,16532
2024-10-23,35536.453125,36154.784197056695,35092.490825636334,35349.73281612701,18922
2024-10-24,35333.85546875,35873.5785536925,35236.72016899693,35873.5785536925,10745
2024-10-25,35219.02734375,35849.319424772024,34668.52251147764,35478.279428175214,16693
2024-10-28,35406.58203125,35597.8087746739,34922.283887778416,35089.69582803689,9154
2024-10-29,35694.015625,35864.02346460556,34624.221681527044,35625.20921810066,43179
2024-10-30,35455.63671875,35963.01450253974,35199.86116019727,35815.010490932444,14672
2024-10-31,34424.7578125,35810.16294412955,34131.44519812339,35455.640158934766,36099
2024-11-01,34484.1015625,34844.40956467624,34268.91070374165,34637.84104265414,3850
2024-11-04,34639.90234375,34822.456976352885,34065.57505539087,34550.55854442558,29676
2024-11-05,34905.96484375,35125.42092921693,34414.315520067925,34452.78676377447,32121
2024-11-06,35553.015625,35658.18746041676,34991.484017519106,34991.67928358654,16879
2024-11-07,34667.8828125,36043.095804800796,34526.15410375428,35553.01625433877,18762
2024-11-08,34422.59765625,34935.465900724266,34306.54835134963,34756.44137421381,14426
2024-11-11,34296.6015625,34893.66394653603,34233.82160641993,34403.58439672513,32585
2024-11-12,32618.224609375,34645.82920009296,32454.047960124873,34570.2114570265,56027
2024-11-13,32553.04296875,33795.88466706311,32179.11228428119,33325.40831438937,124257
