date,close,high,low,open,volume
2022-06-01,1051.1578369140625,1088.0729559932086,1045.1078276514804,1082.4009857621406,499614
2022-06-02,1060.32763671875,1068.2211058820226,1043.5480574006917,1049.3145376363232,712335
2022-06-03,1045.2967529296875,1075.4527483521586,1041.1845979621958,1063.494322447116,826888
2022-06-06,1019.7256469726562,1044.5878287846947,1009.3270351024013,1044.5878287846947,776565
2022-06-07,1008.0037231445312,1019.6785058523164,999.401142352605,1011.5013920800263,475859
2022-06-08,1015.6607666015625,1020.0092537793339,997.8885480879474,1006.7746573447549,834757
2022-06-09,1014.6680908203125,1021.9943850232492,1006.8219352989499,1012.4465924316291,261947
2022-06-10,1004.26953125,1012.4466444078558,997.3687036586177,1009.9415012466826,762658
2022-06-13,982.9524536132812,997.3213982156932,967.070891350383,968.961548029465,535385
2022-06-14,973.1209716796875,993.0673756602902,969.1033264188058,982.9524090444434,359691
2022-06-15,985.5046997070312,997.6049474543662,973.5935868474292,980.3053943368743,1294274
2022-06-16,978.1311645507812,996.3760472481856,972.6010169693631,996.3760472481856,510251
2022-06-17,945.1392822265625,971.3248893226507,933.9371642465265,964.8021005632222,1468939
2022-06-20,939.2781372070312,966.1254829032144,933.0389937626934,945.2337514109315,535579
2022-06-21,966.5982055664062,969.4815030961428,943.5794840926136,951.756539427837,226063
2022-06-22,935.071533203125,966.1255455153863,933.0390542306128,966.1255455153863,350809
2022-06-23,930.8175659179688,946.320915956051,926.4217660913934,935.8750494188566,1011251
2022-06-24,931.4320068359375,948.1643300829361,926.4217781468369,945.1392678391305,944827
2022-06-27,946.5572509765625,950.0077224810989,933.9843956516733,946.2264091383796,897071
2022-06-28,938.9945678710938,946.6044489764197,922.8767322558546,940.6016374848402,942348
2022-06-29,917.53564453125,935.8750370229232,907.8933418235627,931.1011405454384,944102
2022-06-30,922.9240112304688,925.4764091897454,911.2964846362763,917.9137827612285,636183
2022-07-01,985.6466064453125,990.9877345896133,923.6802882494496,926.4217634860091,1982052
2022-07-04,1004.5532836914062,1031.9204957031393,982.6689073601625,984.9377186815714,1515688
2022-07-05,1001.1499633789062,1017.9767375634219,997.7940018186349,1013.3919184742555,516807
2022-07-06,997.6522216796875,1000.2518745655426,983.7559415029986,996.3760515241179,1506421
2022-07-07,989.7114868164062,1007.720038350799,980.5418478230453,999.0230635405295,573482
2022-07-08,978.9819946289062,998.5030477059657,969.906865747996,997.3213872944793,707729
2022-07-11,970.8048706054688,988.9079309855496,966.1727964633916,980.3054663657908,461790
2022-07-12,959.7445678710938,972.4591874971351,953.3163468950863,971.7975038379556,699305
2022-07-13,947.3607788085938,966.1255224819977,945.5646319595089,959.744556457777,613175
2022-07-14,938.7109985351562,953.0800001833022,933.0390287554877,947.4080304036336,980530
2022-07-15,962.2969970703125,965.0857272182617,936.820386719273,938.7110434028639,748231
2022-07-18,999.0230712890625,1001.480901980895,966.7400842542257,975.248039615859,655055
2022-07-19,980.2581176757812,997.3213393560734,972.7428039785777,997.3213393560734,540444
2022-07-20,969.2451782226562,989.5697372194153,966.1255485901255,987.8681000750305,534042
2022-07-21,988.1517333984375,992.3110856654106,967.4962751057121,970.8521790828506,504421
2022-07-22,981.5816040039062,996.2341924565376,977.9894257502051,989.5696972692201,372762
2022-07-25,994.53271484375,997.1323677489199,979.3128364271712,987.5372621287148,370281
2022-07-26,970.5685424804688,996.3760518414225,968.0162021685168,994.4853951965622,617578
2022-07-27,965.085693359375,975.0588377775051,956.7667580848247,973.6881578886009,905272
2022-07-28,1005.7348022460938,1019.6783946821405,968.0634925405529,973.6881497714007,1153269
2022-07-29,1007.38916015625,1031.636854953308,1001.5753678346767,1018.1186136460093,720937
2022-08-01,1052.5758056640625,1072.947677775144,1008.6653499436817,1020.9546184996966,1900084
2022-08-02,1052.055908203125,1060.2330212332977,1036.0798365492922,1054.9864029096807,607174
2022-08-03,1046.6202392578125,1054.041043254335,1032.345805159412,1044.6822701048804,620126
2022-08-04,1041.090087890625,1061.2255111514803,1033.5274616000083,1054.0410392546983,657867
2022-08-05,1081.833740234375,1089.0182123056984,1044.6350943429943,1045.0604459235674,1800984
2022-08-08,1061.5091552734375,1085.8985558107586,1054.2773708072914,1082.4008873116777,546089
2022-08-10,1065.6214599609375,1071.9551142075024,1051.3470239181243,1071.9551142075024,503935
2022-08-11,1108.2554931640625,1114.5419487788856,1066.5665425867496,1077.6741489465053,1254427
2022-08-12,1122.48291015625,1147.5813087066886,1099.7477170933098,1108.7283364526083,1570362
2022-08-16,983.2359619140625,1033.243853088886,954.1198612166264,1033.243853088886,9964906
2022-08-17,1009.374267578125,1024.6413423281256,986.9227210035706,993.1146673753708,4066934
2022-08-18,1002.5206298828125,1017.9767240110376,994.4853395914369,1010.5559201741881,1578967
2022-08-19,986.9700317382812,1013.0610690507204,983.5667576308396,1002.9932998419944,1330191
2022-08-22,973.1209716796875,986.5445873339075,958.5156379563596,978.4147870617804,1037069
2022-08-23,979.171142578125,1002.0480422906791,959.8391087507335,972.6483539405125,1059330
2022-08-24,975.295166015625,986.9227503246098,971.7974974460717,981.2980930690121,571065
2022-08-25,994.0128173828125,1000.5828036358115,980.5892001968365,986.5920124864131,1036728
2022-08-26,990.1841430664062,1001.9535503690055,979.123847429292,991.6494481808614,505532
2022-08-29,981.0617065429688,983.8976913002949,956.7667012172989,959.5081762286839,608206
2022-08-30,997.4158325195312,1001.102635844153,986.9227118236977,987.8680400917281,596668
2022-09-01,987.6317749023438,1008.7598400442088,979.1711324891652,980.3054803290073,860418
2022-09-02,973.6881713867188,1004.0805000097934,971.7975147432494,988.8134245344736,953335
2022-09-05,974.25537109375,987.6791028556884,972.2702046448549,982.385171796599,469263
2022-09-06,974.25537109375,984.0868089793815,971.703030716103,978.0366844807986,645805
2022-09-07,979.265625,983.4250926670553,968.1580172940745,975.4843117384083,510482
2022-09-08,983.4722900390625,991.507580721531,982.1961198923279,987.8680897858351,438353
2022-09-09,988.1989135742188,993.5400415390563,984.0867585558112,988.4352456487999,417043
2022-09-12,988.9552001953125,1001.5753096156492,985.9300804705964,988.1516942390585,399366
2022-09-13,992.7837524414062,997.2268647696077,987.3954271926453,994.4853895707639,311227
2022-09-14,984.6539306640625,994.816209852562,974.3498291517681,978.4147869857761,602674
2022-09-15,1001.6226196289062,1008.6652691168979,983.4250503407148,989.6168813021627,1486124
