date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,sector_close,sector_rs_ratio,sector_zscore,sector_percentile,delivery_pct,delivery_pct_5d,fii_net,dii_net,advance_decline_ratio,net_advances_pct,pct_above_50dma,highs_minus_lows_pct,composite_breadth_score,market_breadth_state
2023-01-02,2877.383741729015,2882.5456478570804,2854.618749078337,2877.78076171875,709547,yfinance:TCS.NS,2026-08-05T14:32:45.912639,0.0138,,,,709547.0,709547.0,1.0,1.0,normal,27.93,0.9704,,,,,,,28737.30078125,0.100140955604167,0.0,1.0,51.97371322408986,51.97371322408986,-1549.7654730546974,-44.56889198941762,1.5,0.2,0.3,-0.06,0.454,mixed
2023-01-03,2869.4429764459805,2929.443629089992,2863.531190519576,2921.811279296875,1245178,yfinance:TCS.NS,2026-08-05T14:32:45.912639,1.825,,,,977362.0,977362.0,1.274,1.274,elevated,65.91,2.2559,-8.34,-0.2897,,,1.2807,1.2807,28962.30078125,0.10088325859761929,0.7071067811865475,1.0,46.893885590630525,49.4337994073602,542.6804033275022,-1044.0161388968909,1.2727,0.12,0.38,-0.02,0.474,mixed
2023-01-04,2917.707917742617,2935.9288318835124,2899.6194872236865,2924.72265625,1231668,yfinance:TCS.NS,2026-08-05T14:32:45.912639,0.2404,,,,1062131.0,1062131.0,1.1596,1.1596,elevated,36.31,1.2415,-4.1,-0.1404,,,0.9868,0.9868,28677.80078125,0.10198559779947387,1.0583612933797943,1.0,53.18150830480554,50.68303570650864,1353.035802563644,343.6366682943155,0.1628,-0.72,0.32,-0.04,0.28,deteriorated
2023-01-05,2938.443570763314,2944.70843071638,2895.869579901462,2921.590576171875,1826057,yfinance:TCS.NS,2026-08-05T14:32:45.912639,-0.5735,1.5223,,,1253112.0,1253112.0,1.4572,1.4572,elevated,48.84,1.6717,13.72,0.4691,,,1.0248,1.0248,28527.75,0.10241223286701107,1.0212790951209496,1.0,60.184238851264205,53.058336492697535,-52.43603652138985,-980.432582186749,1.5,0.2,0.4,-0.16,0.484,mixed
2023-01-06,2911.795886870426,2913.163591658966,2823.5596478743523,2833.7509765625,2488376,yfinance:TCS.NS,2026-08-05T14:32:45.912639,-2.6803,-3.0139,,,1500165.0,1500165.0,1.6587,1.6587,spike,89.6,3.162,-9.79,-0.3353,55.4,,1.6298,1.6298,27956.44921875,0.10136305059306111,0.006730936916827306,0.6,46.12677300221331,51.67202379460069,1181.3207869512319,-606.2676896788757,0.25,-0.6,0.24,-0.2,0.256,deteriorated
2023-01-09,2849.149060614339,2935.620602249584,2842.2224274885925,2929.39990234375,2885060,yfinance:TCS.NS,2026-08-05T14:32:45.912639,2.8167,0.1599,1.7937,,1935268.0,1730981.0,1.4908,1.6667,elevated,93.4,3.1883,15.4,0.5434,70.19,,1.9176,1.9176,28748.150390625,0.10189872609331592,0.5429437464276592,0.6666666666666666,54.13947783322327,52.105176716427366,-870.0433305682933,-375.1031881369534,6.1429,0.72,0.44,-0.02,0.618,strengthened
2023-01-10,2898.5606771633866,2910.031389127808,2850.1190643433856,2899.7958984375,3864655,yfinance:TCS.NS,2026-08-05T14:32:45.912639,0.0426,-0.746,-0.7535,,2459163.0,2035792.0,1.5715,1.8984,spike,59.91,2.0661,-30.84,-1.0527,72.87,,1.7527,1.7527,28502.69921875,0.10173758899753327,0.32445149218549946,0.5714285714285714,44.24420491252038,51.575240580805335,10.504169176824663,-228.33055521316248,0.4706,-0.36,0.32,-0.12,0.344,weakened
2023-01-11,2903.061294014139,2955.473546603415,2886.340350306403,2937.120361328125,2720512,yfinance:TCS.NS,2026-08-05T14:32:45.912639,1.1732,3.6478,0.4239,,2756932.0,2121382.0,0.9868,1.2824,normal,69.13,2.3538,3.27,0.1126,79.43,,1.6558,1.6558,28596.349609375,0.10270962557980555,1.2856418097102762,1.0,52.34048034868772,51.40703498958178,455.00144427338165,1547.0050546201326,0.5806,-0.2653,0.36,-0.14,0.3769,weakened
2023-01-12,2937.3844994888523,2955.914110329725,2925.516768010586,2942.105224609375,2250391,yfinance:TCS.NS,2026-08-05T14:32:45.912639,0.1607,0.4337,0.7022,,2841799.0,2135716.0,0.7919,1.0537,dry,30.4,1.0332,0.26,0.009,75.74,,1.5503,1.5503,28720.30078125,0.10243991687336797,0.8639839275364147,0.8888888888888888,44.2926584575003,48.228718910828995,-258.02698550262426,1304.470066763827,0.8519,-0.08,0.34,-0.02,0.418,weakened
2023-01-13,2949.649271801032,2981.502641592047,2916.207821977424,2977.576171875,1742837,yfinance:TCS.NS,2026-08-05T14:32:45.912639,0.9468,2.6823,5.0754,,2692691.0,2096428.0,0.6472,0.8313,dry,65.29,2.1929,7.54,0.2564,69.2,,1.4743,1.4743,28933.75,0.10291013684278741,1.23524491261821,1.0,44.27416197143795,47.85819670467392,635.1634881228921,-585.5593478106899,2.5714,0.44,0.34,-0.06,0.518,mixed
